product_id,name,main_category,sub_category,ratings,no_of_ratings,price (USD),cost (USD)
bx-976TI8,iBOND 65 Watt Warp Charger for Oneplus 65W Wrap Charging with USB to C Cable Charger Compatible for OnePlus 10/10 Pro/9/9 ...,"tv, audio & cameras",All Electronics,4.6,3,16.0,12.0
bx-976U4T,Medium 15 L TUITION BAG AND COLLEGE BAG FOR GIRLS STYLISH AND TRENDY LIGHTWEIGHT BACKPACKS,accessories,Bags & Luggage,3.4,335,16.0,5.1
bx-977Q32,SELLORIA Brand Flower Design on dial and Strap Unique Watch for Women Analog Watch - for Girls,accessories,Watches,,,12.0,5.4
bx-977VKI,Daniel Klein Analog Silver Dial Women's Watch-DK11411-3,accessories,Watches,3.5,5,84.0,38.0
bx-9787NQ,EXOTIC Shoulder-Sling Bag For Girls/Women's,accessories,Bags & Luggage,4.1,220,24.0,11.0
bx-978KUQ,CRESTELLO Leather Strap Analog Wrist Watch for Women (Black/Brown/White) - CR-L107,accessories,Watches,3.8,17,31.0,21.0
bx-978P0T,A V FASHION - Pearl Beads Gold Plated Chain Holder Eyeglass Chain Strap Holder Cord Eyewear Necklace Retainer for Women Be...,women's clothing,Clothing,3.7,5,11.0,0.5
bx-97B8H4,Ramson Avengers Print Ultrasoft Memory Foam Neck Pillow for Travelling,accessories,Bags & Luggage,4.5,8,8.0,5.6
bx-97BJRZ,Purple Georgette Kurta with Plazo Embroidery Festive Kurta,women's clothing,Clothing,,,18.0,6.9
bx-97C7BN,SELLORIA A Brand Sports Black Dial Watch Baseball Cap for Men Women Boys and Girls Cap wth Black sunglas Watch for Mens Bo...,accessories,Watches,,,12.0,9.0
bx-97C8OY,LOREM Analogue Multi-Colour Dial Women's Watch - LR229,accessories,Watches,5.0,1,11.0,7.9
bx-97CFRC,"uni-ball Eye UB157 Roller Pen (Assorted Color, Pack of 10)","tv, audio & cameras",All Electronics,4.6,"1,967",10.0,2.4
bx-97DB4L,NEUTRON Exclusive Digital and Analog White and Black Color Dial Women Watch - DG36-GX10 (Pack of 2),accessories,Watches,,,8.0,5.8
bx-97EO5Y,Enamor E044 Essentials Womens City Shorts,women's clothing,Clothing,4.2,21,11.0,6.2
bx-97FXBH,"Red Lemon Bange Men's Professional Briefcase Office Messenger Bag fits upto 15.6"" Laptop/Macbook with Handles & Detachable...",accessories,Bags & Luggage,5.0,12,48.0,7.4
bx-97G7D6,American Tourister KrossPlus Polycarbonate 68 cms Medium Green Hardsided Carry-on Luggage (LE2 (4) 34 602),accessories,Bags & Luggage,3.9,9,134.0,1.6
bx-97HFO2,TIMENTER Rich Analog Brown and Green Color Dial Women Watch - GM251-GM506 (Pack of 2),accessories,Watches,,,16.0,2.7
bx-97IDGE,Hidesign Women's MEREDITH 02 Handbag,accessories,Bags & Luggage,4.4,12,68.0,43.7
bx-97ITHY,jainx Party Analogue Women Watch (Pink Dial Silver Colored Chain),accessories,Watches,,,16.0,13.0
bx-97IU9J,"SARTHAK® High Strength Elastic Nylon and Polyester Bungee/Shock Cord Cables for Bikes, Multi Color Luggage Strap Tying Rop...",accessories,Bags & Luggage,3.6,11,5.0,0.5
bx-97J4C2,HITHROW Lycra Saree Shapewear Petticoat for Women || saree shapewear for women(SS),women's clothing,Clothing,5.0,2,24.0,11.1
bx-97JPR6,"MASQ By Q-One Blossom Reusable, Washable, Anti-Bacterial (BFE>99%) 4 Layer Embroidered, Fashionable Cotton Cloth Face Mask...",accessories,Bags & Luggage,4.4,"9,495",5.0,3.2
bx-97JXKT,Saanchi Ecommerce Women's Georgette Sarees ($$RL824_Pink),women's clothing,Clothing,4.0,2,24.0,17.4
