product_id,name,main_category,sub_category,ratings,no_of_ratings,price (USD),cost (USD)
bx-000JHG,The Shopoholic Analog Black Rectangle Dial Womens Watch(MT-211),accessories,Watches,,,6.0,4.3
bx-000Y0V,GROOT Professional Analog Black Color Dial Men Watch - BCPL6-BL46.27 (Pack of 2),accessories,Watches,,,12.0,9.7
bx-002PVJ,BIGXEN Kids Mask Cotton Mask for Boys and Girls Reusable and Washable Mask for Boys Kids Mask for Girls 3 Layer Cartoon Di...,accessories,Bags & Luggage,4.2,31,4.0,1.2
bx-003PYP,"Kawaii Kart | Lightstick Keychain | Premium 3D Rubber KPOP Merchandise Keyrings Suitable to use as Bag Charm, Car Keychai...",accessories,Bags & Luggage,3.7,13,24.0,18.6
bx-0042LQ,NEUTRON Heart Analog Grey and Black Color Dial Women Watch - GM508-GM216 (Pack of 2),accessories,Watches,,,12.0,3.5
bx-005G6J,"nsb herbals 15 G Empty Acrylic San Jar Transparent / Clear Cosmetic Container With Gold Lid And Inner Lids For Lip Balms, ...",accessories,Bags & Luggage,2.9,3,4.0,0.6
bx-0067CO,"Miraan Cotton Printed Readymade Salwar Suit For Women(BANDCOLOR923, Pink)",women's clothing,Clothing,3.9,254,40.0,0.1
bx-007EBG,BTS Yellow Rosegold Watch | Girls | Premium Rosegold Watch,accessories,Watches,,,11.0,7.0
bx-007T8G,"TRAVALATE Laptop Backpack with USB Charging Port for Travel, Office, Collage, Business Bag, Gift for Men and Women",accessories,Bags & Luggage,4.3,9,17.0,14.2
bx-008NGM,"Baidyanath Giloy Juice Helps Boost Immunity, 500 ml",grocery & gourmet foods,"Coffee, Tea & Beverages",4.4,88,2.0,0.8
bx-00CF7B,ADD GEAR Scarfy-2 Anti Pollution Full face Scarf UV Sun Rays Protection mask for Women - Random Colours,women's clothing,Clothing,3.6,180,10.0,2.9
bx-00CPIL,casera Magnetic Strap All Black Color Analog Watch for Girls and Women,accessories,Watches,,,24.0,3.6
bx-00CRU1,GROOT Technology Analog Black and Silver Color Dial Men Watch - BL46.61-B776 (Pack of 2),accessories,Watches,,,14.0,9.6
bx-00DAYK,Belladona islamic prayer dress - white big star print,women's clothing,Clothing,4.0,2,12.0,8.9
bx-00DHFV,COTLAND Fashions Jaipuri Cotton Printed Strappy Sleeveless Top for Women,women's clothing,Clothing,4.2,31,27.0,0.6
bx-00E9JK,Amayra Women's Rayon Printed Anarkali Kurti with Palazzos and Dupatta Set,women's clothing,Clothing,3.9,"1,19",36.0,1.8
bx-00EE34,Lychee bags Canvas Floral Printed Womens tote Bags,accessories,Bags & Luggage,3.8,14,20.0,10.3
bx-00EGZ5,Imperious Stainless Steel Dial Wrist Watches for Women Stylish Belt Ladies Watch - Water Resistant Womens Watches,accessories,Watches,3.3,5,14.0,1.2
bx-00FM24,Camel Premium Poster Colour with Brush - 20 Shades (Multicolor),"tv, audio & cameras",All Electronics,4.5,818,7.0,3.3
bx-00FODM,NEUTRON Quartz Analog Red and Grey Color Dial Women Watch - G441-(36-L-10) (Pack of 2),accessories,Watches,,,8.0,3.2
bx-00FSMP,"Spanco Wooden Nun Chaku, Brown",sports & fitness,Fitness Accessories,3.0,1,3.0,1.5
bx-00FUJN,stylemyth - fashion point Women Denim Solid Blue Full Sleeve Casual Jacket (mye11),women's clothing,Clothing,5.0,1,16.0,8.5
bx-00G1SX,CURREN Analog Rose Gold Dial Women's Watch,accessories,Watches,5.0,1,60.0,49.6
bx-00G8OI,"TheGiftKart Back Cover for Samsung Galaxy M21 2021 Edition / M21 / M30s (TPU, PC | Transparent | Black Bumper)","tv, audio & cameras",All Electronics,4.3,453,12.0,9.8
bx-00GPFO,DAISY DEE Cotton Wirefree Regular Straps Seamed Full Coverage Non Padded Bra for Women,women's clothing,Clothing,3.8,247,6.0,1.3
bx-00H31X,Vaamsi Georgette Printed Saree with Blouse (PC1156_Red),women's clothing,Clothing,4.7,7,17.0,1.4
bx-00H63S,Titan Raga Analog Off-White Dial Women's Watch-NN311YM16,accessories,Watches,3.9,11,93.0,25.0
bx-00ISVX,Coach Womens Na Silver White Dial Stainless Steel Analogue Watch - NCCO14503626W,accessories,Watches,,,282.0,32.9
bx-00K9H8,"D'aromas Peach Ice Tea 1kg, Instant Premix Ice Tea Powder, Ready to Drink Iced Tea, Summer Drink",grocery & gourmet foods,"Coffee, Tea & Beverages",3.1,36,8.0,1.2
bx-00KU18,"SupCares Edge to Edge Privacy Tempered Glass for iPhone 14, iPhone 13 and iPhone 13 Pro (6.1 Inch) with Easy Self Installa...","tv, audio & cameras",All Electronics,4.2,282,10.0,4.8
bx-00OF7F,Robustrion Trifold Flip Stand Case Cover for Realme Pad X 11 inch Tablet Cover - Black,"tv, audio & cameras",All Electronics,4.4,270,24.0,19.4
bx-00ON3S,Rangwell TSA Approved Suitcase Padlock Key Lock/TSA Approved Brass Key Lock/Padlocks with 2 Keys for Travel Luggage Suitca...,accessories,Bags & Luggage,5.0,1,12.0,8.8
bx-00PVLQ,ados Men's Outdoor Quick Dry Light Weight Sports Shorts Zipper Pockets Stretchable Knee Length Half Tights with Pocket Spo...,sports & fitness,Yoga,5.0,1,16.0,0.2
bx-00PXQI,de jeunez Lunch Bag-Black with Blue,accessories,Bags & Luggage,4.0,181,6.0,1.8
bx-00QBPA,Magnova Bag cross backpack Sling Bag For Men & Women Waterproof Sling Backpack Bag Cross body Bag with USB Charging Port f...,accessories,Bags & Luggage,4.1,26,30.0,10.8
bx-00RWOT,NEUTRON Diwali Analog White Color Dial Women Watch - GM238-GC18 (Pack of 2),accessories,Watches,,,11.0,4.4
bx-00RX1H,"Kalanjali Women's Kanchipuram Silk Saree With Blouse Piece (Kalanjali-1.2-51_Gold, Red)",women's clothing,Clothing,1.0,2,60.0,20.8
bx-00SZCZ,"CPD EMPIRE Chain Buckle Skinny Stretch Adjustable Waist Belt Stylish Design Belts kanduro-Belt for Fancy Girls, Women Sare...",women's clothing,Clothing,3.8,7,7.0,4.6
bx-00U9LR,Royster Callus Royster Callus Brown Leather Men's Wallet (RCW1021-2),accessories,Bags & Luggage,4.0,196,18.0,11.0
bx-00W4F6,Duracell - 2032 3V Lithium Coin Battery - Long Lasting Battery - 2 Count,"tv, audio & cameras",All Electronics,4.1,714,2.0,0.2
bx-00XO07,"Women's Cotton Blend Unstitched 1 meters Each Blouse Materials (Multicolour, Free Size) - Pack of 3 Pieces -S66",women's clothing,Clothing,3.7,24,7.0,5.0
bx-00XQVI,"Essart 16 Slots Jewellery Box, Earring Organizer Box, Jewellery Makeup Vanity Mutli Purpose, Makeup & Cufflinks Box, Cuffl...",accessories,Bags & Luggage,4.7,11,20.0,5.4
bx-00YXSG,Massaya Girl's Net Fabric Long Tulle Skirt,women's clothing,Clothing,3.0,43,14.0,8.6
bx-00Z4CY,Time Up Digital Dial Combo of 2 Waterproof Alarm Kids Digital Watches for Boys & Girls-EF61-BLK,accessories,Watches,4.7,5,18.0,8.4
bx-00ZHZY,NEUTRON Heart Analog Black and Rose Gold Color Dial Women Watch - G572-GX4 (Pack of 2),accessories,Watches,,,10.0,5.8
bx-0102SC,TOPLOT Crop Top for Women||Tops for Women||Crop top||Tank top for Women||Tops for Women Stylish Latest||Western Tops for W...,women's clothing,Clothing,4.6,26,19.0,12.1
bx-0105P4,Regolith Designer Sarees Women Cotton Silk Saree with Un-stitched blouse Piece for summer,women's clothing,Clothing,,,36.0,6.4
bx-0107CJ,Lee Cooper Analog Silver Dial Women's Watch-LC06373.430,accessories,Watches,,,60.0,1.5
bx-01085R,ProElite Smart Trifold Hard Back Flip Stand Case Cover for Apple iPad 9.7 inch 2018/2017 Air 1 Air 2 5th 6th Generation wi...,"tv, audio & cameras",All Electronics,4.3,"3,886",24.0,8.9
bx-010AUU,Brachy Padded Bra Underwire Push Up Bra Transparent Strapless Back Bra Party Casual Wear Seamless Bra BCA_DEMIDDSTPA,women's clothing,Clothing,5.0,1,12.0,6.2
bx-010FM0,Casio Sheen Analog Black Dial Women's Watch-SHE-4541BL-1AUDF,accessories,Watches,4.1,7,132.0,82.2
bx-010HJL,"Extreme Machine Men's and Women's Military Print Hiking Trekking Bag (Green, 70 L)",accessories,Bags & Luggage,3.8,39,23.0,9.0
bx-010LV7,Optifit® Crossbody Phone Bags for Mobile Cell Phone Holder Pocket Wallet PU Leather Sling Wallet for Women Girls Ladies Mi...,accessories,Bags & Luggage,5.0,1,16.0,12.3
bx-012PI1,TIMESPACE Analogue Open Dial Magnetic Couple Boy's and Girl's Watch (Black),accessories,Watches,3.6,12,24.0,6.9
bx-012R0G,The Shopoholic Analogue Latest Stylish Blue Fancy Dial Womens Combo Watch-(334-337),accessories,Watches,,,11.0,7.8
bx-0130BJ,Jockey Women's Straight Fit Shorts with Side Pockets,women's clothing,Clothing,4.6,17,14.0,7.7
bx-01504J,pass pass Black Kids Watch for Combo Analog for Boys & Girls (Pack of-2),accessories,Watches,2.9,2,7.0,5.9
bx-015C0M,KITTYBEES Women's Lycra Plain Above Knee Babydoll with G-String,women's clothing,Clothing,3.7,155,8.0,0.2
bx-016TQY,ecbatic Women's Quartz Watch with Analogue Display and Leather Strap Combo -313-314,accessories,Watches,,,16.0,3.1
bx-017CUI,American Tourister Georgia Spinner Polycarbonate (PC) 55 Cm Large Forest Green Check-in Hard Luggage,accessories,Bags & Luggage,4.2,3,89.0,32.6
bx-0197TL,TEKZIE Couple Multi Color Couple Watch Analog Watch - for Men & Women,accessories,Watches,3.6,3,12.0,6.7
bx-019DED,FUNDAY FASHION Women's Trendy Fleece Zipper Sweatshirt with Hoodie for Women and Girls,sports & fitness,Yoga,3.0,2,16.0,13.3
bx-019GES,Acnos Brand Exclusive Choice 3 Types Rosegold Silver Exclusive Diamond Studded Bracelet Chain Girls Watch for Women Analog...,accessories,Watches,,,12.0,6.9
bx-01B8AC,S2A Analog Women's Watch (Black Dial Multi Colored Strap),accessories,Watches,3.4,8,16.0,5.7
bx-01C5JR,"OnePlus 11R 5G (Galactic Silver, 8GB RAM, 128GB Storage)","tv, audio & cameras",All Electronics,4.6,338,480.0,382.7
bx-01D575,ComfortZone Women's Cotton Bra Panty Set - Pushup Bra Lightly Padded Bra Combo Pack of 3,women's clothing,Clothing,,,12.0,4.2
bx-01DHVT,Callas Dog and Cat Bed/Mat | Super Soft Pet Bed/Mat for Dog & Cat | Pet Beds for Pets Sleeping (62 x 47 x 2.5 cm | Cream),pet supplies,Dog supplies,5.0,3,12.0,6.0
bx-01E5Y1,Pujia Mills Women's Georgette Digital Printed Sleeveless Blouse,women's clothing,Clothing,3.2,24,36.0,27.5
bx-01E9CE,Women Rayon Kurta & Palazzo Set,women's clothing,Clothing,4.6,9,13.0,3.3
bx-01F430,Unicorn bags for girls is cute looking gifts for girls. Easy to carry unicorn sling bags for girls also best birthday gift...,accessories,Bags & Luggage,4.0,3,12.0,9.6
bx-01FXBC,TnW Men's Brown Artificial Leather Wallet with Detachable Card Holder(7 Card Slots),accessories,Bags & Luggage,4.0,348,14.0,3.9
bx-01GG15,Hidesign Black Leather Men's Wallet (8903439777876),accessories,Bags & Luggage,3.1,3,58.0,29.8
bx-01HT7G,"ZEBRONICS Zeb-HAA1520 (1.5 Meter) HDMI Cable Supports 3D, 4K, ARC & CEC Extension, Compatible with HDMI-Enabled TV, Blu-ra...","tv, audio & cameras",All Electronics,4.3,"4,217",11.0,7.2
bx-01IXZY,"SYSKA Power Bank 10000mah | 6 Months Warranty | Powerbank, Battery Bank, Quick Charging 18W P1029J Power Bank with High-En...","tv, audio & cameras",All Electronics,3.8,"1,316",24.0,11.4
bx-01JTYZ,REDUX GW-207 Flying Kite Dial Analogue Watch for Women's & Girl's,accessories,Watches,4.0,1,19.0,7.0
bx-01LK7Z,"Time Up Combo of 2 Digital Dial Colorful Alarm Function,Waterproof,Multicolor Backlight Watches for Kids-EF48013-DCMB-VIOL...",accessories,Watches,3.0,10,18.0,10.1
bx-01LT5V,GUESS PU Zipper Closure Womens Casual Tote Handbag (Brown_Frsz),accessories,Bags & Luggage,5.0,3,192.0,6.3
bx-01M458,Ap'pulse Women's Long Sleeve Madrid Polo,women's clothing,Clothing,3.6,123,14.0,2.2
bx-01MUDL,"Hoteon Power Strip plus cord Organizer Extension Board with Cable Management Box with Reset, 2500W/10A 5nos Universal Sock...","tv, audio & cameras",All Electronics,4.5,"3,838",66.0,45.7
bx-01NMNA,Giordano Analog Multicolor Dial Women's Watch,accessories,Watches,3.4,7,61.0,22.5
bx-01P9XG,Shocknshop Fishnet Women's Sexy Black Net Pattern Pantyhose,women's clothing,Clothing,4.0,422,12.0,9.0
bx-01PVF9,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor,...","tv, audio & cameras",All Electronics,4.0,"28,26",84.0,52.5
bx-01R4RY,Fastrack Red Leather Men's Wallet (C0405LRD02),accessories,Bags & Luggage,4.2,26,11.0,4.4
bx-01REX0,"Online Fayda Women's Georgette Saree With Blouse Piece (Of301,Multicolor Free Size)",women's clothing,Clothing,3.9,96,84.0,33.1
bx-01TYRB,"ADAMSON men black messanger bags for travels, college, business, holiday trip ASB-128",accessories,Bags & Luggage,4.3,10,19.0,9.8
bx-01UHY4,"IKEA 172.283.40 Frakta Shopping Bag, Large, Blue",accessories,Bags & Luggage,4.0,3,12.0,5.2
bx-01Y7N4,NEUTRON Tread Analog Rose Gold and Blue Color Dial Women Watch - GX4-(18-L-10) (Pack of 2),accessories,Watches,,,7.0,6.0
bx-01ZLYO,"ESR Clear Case Compatible For iPhone 14 and iPhone 13 Case, Shockproof Thin Silicone Cover, Yellowing-Resistant Slim Trans...","tv, audio & cameras",All Electronics,3.7,"7,021",16.0,13.1
bx-01ZO2F,Yashodhara Enterprise 5.04 Ltrs (12 Cms)Backpack(_Blue),accessories,Bags & Luggage,4.3,23,36.0,27.6
bx-01ZQQ0,American Tourister Georgia Spinner Polycarbonate (PC) 2 Pc Set Midnight Blue Hard Luggage Small & Medium Sets (55 Cm + 69 Cm),accessories,Bags & Luggage,3.3,6,195.0,101.8
bx-020QAE,Shivam Fashion Women's Ethnic Jacket Waist Coat Stylish Cotton Handmade Navratri Traditional Rajasthani Embroidered Jacket...,women's clothing,Clothing,3.9,4,10.0,1.1
bx-020WPG,Portronics Adapto 62 USB Wall Adapter Without Cable 2.4A Fast Charging Single USB Port for All iOS & Android Devices (Black),"tv, audio & cameras",All Electronics,3.8,"1,401",5.0,2.3
bx-02177N,"Glaceon Fluffy cat Bed, Round, Soft Plush, cave with Hood, cat Bed, for The Winter, Warm, Sleeping Pillow, Non-Slip, Machi...",pet supplies,Dog supplies,4.5,6,41.0,33.4
bx-0218PD,SanDisk SDCZ430-032G-I35 Ultra Fit 3.1 32GB USB Flash Drive (Black),"tv, audio & cameras",All Electronics,4.3,"16,026",9.0,6.1
bx-021KJA,"Nokia 105 Plus Dual SIM, Keypad Mobile Phone with Wireless FM Radio, Memory Card Slot and MP3 Player | Charcoal","tv, audio & cameras",All Electronics,3.8,283,23.0,13.6
bx-021T5B,NEUTRON Stylish 0 and Analog Black and White Color Dial Women Watch - GX13-G98 (Pack of 2),accessories,Watches,,,7.0,1.2
bx-021UIL,Flywind Large Casual Travel Bags Clothes Luggage Storage Organizer Collation Puch Cases Suitcase Accessories Supplies Item...,accessories,Bags & Luggage,,,6.0,2.9
bx-0225YR,Calvin Klein Twisted Bezel Analog Blue Dial Women's Watch-25200014,accessories,Watches,3.9,3,151.0,20.9
bx-023WB2,ZOUK Women's Handcrafted Ikat Black and Red Shoulder Tote Bag and Handbag for Office and College,accessories,Bags & Luggage,4.7,8,50.0,18.4
bx-024OE1,"UrbanMade Desk Mat Blotter for Laptop Large Extended Mouse Pad for Office Table Mat, Office Accessories for Desk, Keyboar...","tv, audio & cameras",All Electronics,4.7,422,18.0,12.2
bx-024Q1W,NEUTRON Rich Analog Black and White Color Dial Women Watch - GCPL25-GC75 (Pack of 2),accessories,Watches,,,8.0,2.8
bx-0256YC,K London Dark Brown Artificial Leather Handmade Men & Women Laptop Bag Cross Over Shoulder Messenger Bag Office Bag (1102_...,accessories,Bags & Luggage,4.2,"1,525",36.0,0.7
bx-025PXG,Lerkiza Present Feeding Cotton Kurtis for Womens,women's clothing,Clothing,4.5,9,24.0,6.2
bx-026O69,"JGD PRODUCTS USB 2.0 A to 5 pin Mini USB B Cable for External HDDS/Camera/Card Readers, etc (33 CM)","tv, audio & cameras",All Electronics,4.2,12,8.0,0.7
bx-02755S,MUKHAKSH Women's Wool Cap (Ladies Winter Black with Grey Fold Cap_Black_22 x 23.6),women's clothing,Clothing,3.7,737,6.0,0.6
bx-0282HY,Moonlight Enterprise Blue Diamond Studded Silver Strap Watch and Bracelet Combo Analog Watch - for Girls -Pack of 2,accessories,Watches,Get,Only 1 left in stock.,12.0,8.6
bx-0284Q4,IIK COLLECTION Black Dial Metal Chain Analoge Watch for Women and Girls (IIK-1096W),accessories,Watches,,,18.0,7.5
bx-0286DP,Pet Royale Calcium Tablets for Dogs |Adult Dog Calcium Tablets | 60 chewable Tablets,pet supplies,Dog supplies,4.1,7,4.0,0.3
bx-028AAW,Tressential Premium Universal Travel Adapter with Dual High Speed USB Ports | International Worldwide Charger Plug Adapter...,accessories,Bags & Luggage,4.5,4,19.0,5.1
bx-028K8X,KIROH Analogue Crown Princess Dial Unique Designer Leather Strap Women's and Girl's Watch (Brown),accessories,Watches,,,12.0,5.2
bx-0290GB,"Micromax X412 (Blue, Auto Call Recording, 800mAh)","tv, audio & cameras",All Electronics,3.6,"2,497",18.0,2.2
bx-029FRA,STREZUM Added Lift Silicone Nipple Covers Adhesive Bra Invisible Strapless Sticky Bra Petals Breast Lift Pasties for Women...,women's clothing,Clothing,5.0,3,12.0,7.9
bx-02A2SO,"Hirlax Crepe 2 Combo Kurti for Women - Stylish Printed Straight Kurti for Girls, Long Kurti with 3/4 Long Sleeves, Trendy ...",women's clothing,Clothing,3.5,16,12.0,4.9
bx-02AMQW,RPS FASHION WITH DEVICE OF R Analogue Men's/Boy's Watch (Black Dial & Strap),accessories,Watches,,,16.0,9.0
bx-02AOY2,YOUNGURBAN Young Urban Women's 4 Way Stretchable Tight,women's clothing,Clothing,4.1,231,6.0,0.2
bx-02BILC,Spigen Ultra Hybrid Back Cover Case for iPhone 13 (TPU + Poly Carbonate | Matte Black),"tv, audio & cameras",All Electronics,4.1,"19,011",31.0,26.4
bx-02BPZZ,dermawear 2.0 Women's Blended Mini Corset 6 inch Abdomen Shaper (D-211_Skin),women's clothing,Clothing,,,9.0,5.5
bx-02BW0P,LG 27Ml600 Full Hd 27 Inch (69 Cm) LCD 1920 X 1080 Pixels IPS Monitor 3 Side Borderless Design - Dual Hdmi & Vga Port - Re...,"tv, audio & cameras",All Electronics,4.4,"2,355",312.0,153.2
bx-02CDN8,WILD MODA Women's Tote & Shoulder Bag (Set of 1),accessories,Bags & Luggage,4.0,573,18.0,3.0
bx-02CVNP,K Y KANGYUN nylon 25 Cms Travel Duffle(Ca-LXB_Blue),accessories,Bags & Luggage,3.3,"1,52",7.0,4.2
bx-02F2MG,"GREENSHEEP Women Felt Purse Organizer Insert for Ladies Handbag, Tote, Hobo Bag Storage Purse Divider, Multiple Storage Co...",accessories,Bags & Luggage,3.9,14,22.0,10.8
bx-02F4Q2,"Alina BTS Waterproof Trendy Women Backpack, Wandarful Bag for Girls School College & Office (Grey)",accessories,Bags & Luggage,3.5,32,16.0,2.8
bx-02FHF7,"JBL Cinema SB241, Dolby Digital Soundbar with Wired Subwoofer for Extra Deep Bass, 2.1 Channel Home Theatre with Remote, H...","tv, audio & cameras",All Electronics,3.8,"3,317",180.0,31.8
bx-02FLKV,Halo All Silver Dial Rhinestone Metallic Link Strap Analog Women's Watch,accessories,Watches,,,78.0,7.8
bx-02GDYR,"Glus Polyester women's Shoulder bra Straps,size-free, Color-Silver",women's clothing,Clothing,4.8,17,7.0,1.0
bx-02HHB8,UPADHYAY BAG Handbag For Women And Girls,accessories,Bags & Luggage,2.9,31,11.0,5.9
bx-02HHRF,itshe Polyester Casual Puff Half Sleeve Fancy Top for Women's,women's clothing,Clothing,3.6,46,24.0,3.7
bx-02HPJ5,Haute Sauce White Round Analog Dial Watch with Silver Steel Mesh Strap for Women and Girls | Silver Hour Marker | Quartz M...,accessories,Watches,,,23.0,10.3
bx-02HZXL,"Steal The Dealz Metal Lord Shiva/Shiv Ji Bholenath Giving Blessings Dual Side Keychain/Keyring to Hold your Car, Bike, Hom...",accessories,Bags & Luggage,5.0,2,4.0,1.3
bx-02I1IY,Bellina Women's and Girl's Backpack Daily use School bag (Pink),accessories,Bags & Luggage,3.1,72,19.0,2.2
bx-02I9PI,Women's Rayon Printed Anarkali Kurti Dupatta Set (White),women's clothing,Clothing,3.2,111,7.0,0.2
bx-02IOF2,Beera Women's Satin Kimono Robes Bridesmaid Wedding Robes Silky Bathrobes Summer Loungewear,women's clothing,Clothing,3.6,172,10.0,8.5
bx-02J5P9,FASHIONUMA Women's Black Georgette Saree with Un-Stitched Blouse (SSFU- SARI2736_Black_Free Size),women's clothing,Clothing,2.4,5,52.0,5.2
bx-02LEIL,"Swiss Military Laptop Backpack, Separate Compartment to Keep Files and Folders, Padded Adjustable Shoulder Straps and Quic...",accessories,Bags & Luggage,1.0,1,50.0,19.6
bx-02LLOA,AASA Long and Wide Brim Flower Hat for Girls and Women for Beach and Pool Party Use Multicolor Pack of 1,women's clothing,Clothing,2.9,3,6.0,4.0
bx-02LTF5,Victorinox Architecture Nylon 20 liters Black Laptop Bag (31323701),accessories,Bags & Luggage,4.4,20,456.0,97.5
bx-02N5C2,MYYNTI Women's Ankle Length Cotton Socks Pack Of 5cotton ankle socks_Multicolour,women's clothing,Clothing,3.8,37,8.0,4.0
bx-02OIMI,Daniel Klein Analog Green Dial Women's Watch-DK.1.13240-5,accessories,Watches,Get,FREE Delivery by Amazon,100.0,50.0
bx-02PXQH,Casio Enticer Analog Gold Dial Women's Watch-LTP-E120SG-9ADF (A1045),accessories,Watches,3.5,14,66.0,29.1
bx-02QXB5,Black Fancy Analog Watch for Women 1-LR-255,accessories,Watches,,,25.0,10.9
bx-02RLYY,NAZNEEN stretchable smoking at wrist knee length Jilbab cum prayer khimar Hijab (Mauve Pink-smoking Matt Nida khimar),women's clothing,Clothing,5.0,1,19.0,7.7
bx-02RU9L,Invicta Women's Angel 38755 Quartz Watch,accessories,Watches,,,246.0,108.1
bx-02SKNP,"ACE Metal for Smart Watch (44Mm Metal Strap/Belt,) 44 mm Metal Watch Strap (Golden)",accessories,Watches,,,12.0,7.9
bx-02T7S2,Glive's Waterproof Travel Accessories Passport Holder Wallet Organizer Bag Case Pouch,accessories,Bags & Luggage,5.0,2,6.0,0.6
bx-02TS6F,NEUTRON Casual Analog Black and Red Color Dial Girls Watch - GM242-GM394 (Pack of 2),accessories,Watches,,,11.0,0.0
bx-02TWA8,boAt BassHeads 900 On-Ear Wired Headphone with Mic,"tv, audio & cameras",All Electronics,4.2,"92,346",30.0,18.4
bx-02UL5T,CRAFTS MY DREAM Handmade Canvas Sling Bag Black and White Cross and Polka Print Lightweight and Durable Women’s Cross Body...,accessories,Bags & Luggage,,,10.0,2.6
bx-02WR7W,"BIBA Women's Cotton Dupatta (FLORAL B14936_Navy Blue/Red_Free_Navy Blue, red_Free Size)",women's clothing,Clothing,3.7,44,8.0,6.1
bx-02X4WI,Van Heusen Sport Men's 6 Layer Reusable Mask (Dark Navy) -Pack of 3,accessories,Bags & Luggage,3.9,22,8.0,2.1
bx-02X9OM,Hidesign Women's Satchel (Red),accessories,Bags & Luggage,3.8,7,64.0,29.9
bx-02XWCB,"HAMMONDS FLYCATCHER Genuine Leather Card Holder for Men/Card Holder for Women, Brown | RFID Protected Leather Card Holder ...",accessories,Bags & Luggage,3.5,20,16.0,4.1
bx-02YDG6,DN Enterprises Sling Bag Elegant Party Clutch Bag Chain Sling Bag For Women Girls,accessories,Bags & Luggage,3.4,94,11.0,4.1
bx-0307BZ,Fashion My Day 10 Pieces Tennis Overgrip Anti Skid Racket Grip Tape for Motorbike Handlebar White Sporting Goods | Tennis...,sports & fitness,Fitness Accessories,,,29.0,19.6
bx-0317H4,Milkyway Women Crepe Trendy and Unique Design Maxi Dress with Printed Shrug Set,women's clothing,Clothing,3.7,"1,321",16.0,0.9
bx-0322DK,"Pidilite Fevicryl Acrylic Colour, Acrylic Paint Art and Craft Paint, DIY Paint, Rich Pigment, Non-Cracking Paint for Canva...","tv, audio & cameras",All Electronics,4.1,256,4.0,1.5
bx-0326LI,NEUTRON Gift Analog White Color Dial Girls Watch - GW65-G97 (Pack of 2),accessories,Watches,,,10.0,4.3
bx-0327WE,Shivark Couples Watches for Men and Women Quartz Analog Metal Tree Lovers Black Dial Wristwatch for Men Women Lovers Set of 2,accessories,Watches,5.0,1,12.0,5.4
bx-032UMQ,I2SERVICES Cricket NET 50X10 ROOF Cricket NET,sports & fitness,Badminton,,,34.0,2.0
bx-03449D,Proniks Unisex Sunglass/Eyewear/goggles Box Case Cover Zipper 12pcs compartment Storage organizer - Made in India,women's clothing,Clothing,3.9,46,18.0,6.5
bx-0344Q1,NEUTRON Quartz Analog Black and Blue Color Dial Women Watch - GC3-(18-L-10) (Pack of 2),accessories,Watches,,,9.0,0.2
bx-035H8S,"Gizga Essentials Multi-Purpose Portable & Foldable Wooden Desk for Bed Tray, Laptop Table, Study Table (Black)","tv, audio & cameras",All Electronics,3.6,"6,683",24.0,10.1
bx-0362FE,Clovia Women's Cotton Rich Non-Padded Wirefree T-Shirt Bra in Black,women's clothing,Clothing,4.1,650,7.0,1.8
bx-036XXQ,"Neu Look Gym wear Ankle Length Workout Leggings with Phone Pockets | Stretchable Tights | Mid Waist Sports Fitness Yoga, T...",women's clothing,Clothing,3.9,542,18.0,14.4
bx-0370GH,American Tourister Abs Soft 35 Cms Suitcase (527 (J) 09 009_Black),accessories,Bags & Luggage,4.1,304,35.0,29.9
bx-037PX7,Harpa Women V Neck Printed Dress,women's clothing,Clothing,3.6,630,25.0,1.3
bx-0385AM,TGK Women's Small Cross-Body Phone Bag Stylish PU Leather Mobile Cell Phone Holder Pocket Purse Wallet Sling Bag Mini Shou...,accessories,Bags & Luggage,3.5,146,12.0,2.5
bx-038LYP,Tailed Beast Poket Avanger Hoodie & Sweatshirt for Men&Women,sports & fitness,Yoga,3.4,16,23.0,16.0
bx-038Y7L,"CrossBeats Orbit Infiniti 2.0 1.43-Inch 454×454 PXL AMOLED Screen Smartwatch, Calling+Connect with TWS, Always on Display,...","tv, audio & cameras",All Electronics,4.3,"1,119",180.0,74.6
bx-039BFU,"bellamy Cotton Robes,Housecoat, Nighty, Sleepwear, Night Gown for Women Ladies House Coat, Front Open Adjustable 11-Parent",women's clothing,Clothing,3.7,11,22.0,7.7
bx-039ITL,BASE 41 Women's Regular Fit T-Shirt,women's clothing,Clothing,3.6,386,14.0,11.2
bx-03BFJS,UZARUS Women's Cotton Regular Fit Joggers Track Pants with 3 Pockets,women's clothing,Clothing,3.8,52,24.0,17.4
bx-03BHQ1,Joker & Witch Quant Black Dial Rosegold Mesh Strap Watch,accessories,Watches,,,76.0,34.2
bx-03BLR4,Campus Sutra Women Solid Design Stylish One Shoulder Casual Dresses,women's clothing,Clothing,4.3,19,24.0,16.6
bx-03BSVN,"DEVCHHAYA ENTERPRISE Foldable Travel Duffel Bag, Large Capacity Folding Travel Bag, Travel Lightweight Waterproof Carry Lu...",accessories,Bags & Luggage,,,18.0,1.7
bx-03CDZQ,Mehar Hijab's Modest Women's Frilled Stylish Solid Polycotton Feel Good Fabric FAEEZAH BLACK Hijab,women's clothing,Clothing,4.5,13,9.0,0.8
